,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
17895,К405ОМ_77,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
17896,Е536ОВ_92,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
17897,В392ОЕ_95,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
17898,Т867СК_38,Audi RS 7 I (4G) Рестайлинг,лифтбек,автомат,полный,560,4.0,Бензин,синий
17899,Е366ЕН_99,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
17900,К797НУ_16,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
17901,О886ХЕ_27,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
17902,В394КС_28,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
17903,Е184АА_28,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17904,К839МО_93,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
17905,О139МН_39,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
17906,В721КК_30,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
17907,Х613КА_76,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
17908,Р816ВН_62,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
17909,О467ОХ_06,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
17910,Х347МС_08,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
17911,В038СА_95,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
17912,К946СК_20,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
17913,К940ТА_31,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
17914,Н244ЕА_67,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
17915,В597КН_74,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
17916,Х599УК_10,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
17917,У954ЕУ_79,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
17918,М695УЕ_68,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
17919,К490МХ_28,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
17920,А074РК_53,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,серый
17921,А621ВТ_01,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,пурпурный
17922,Т975СС_19,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
17923,Т513РХ_72,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
17924,В495МР_62,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,чёрный
17925,Т190НН_15,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
17926,О384ХК_01,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
17927,У709ХН_91,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
17928,А453МХ_73,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
17929,А792КА_75,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
17930,В243СН_03,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
17931,С768РТ_39,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
17932,Е791ОХ_50,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
17933,Х105НК_97,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
17934,М120УС_09,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
17935,С408КМ_13,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17936,С292СН_12,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
17937,В484СА_33,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
17938,А093ТТ_10,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
17939,А956РО_53,Porsche Cayenne Coupe GTS I,внедорожник,автомат,полный,460,4.0,Бензин,серый
17940,М668НХ_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
17941,Х993РС_54,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
17942,У698ОХ_54,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
17943,У289КТ_07,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
17944,О980РР_09,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
17945,Т055ВК_58,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
17946,В900АМ_50,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
17947,М717УО_80,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
17948,Р026ЕА_36,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
17949,С690КН_46,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
17950,Н707СХ_28,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
17951,Е180ВА_19,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
17952,М489РА_86,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
17953,М878НТ_65,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,чёрный
17954,Р701РЕ_05,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
17955,О578ХХ_83,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
17956,М165МН_66,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
17957,О963ОТ_98,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
17958,Х714МС_65,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
17959,М321НХ_83,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
17960,Н132НН_67,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
17961,У529СА_71,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
17962,Н343ХА_84,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
17963,К438АК_52,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
17964,М829ТВ_86,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17965,М451АА_03,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17966,М809ЕТ_13,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
17967,Н559РТ_02,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
17968,Т909КМ_32,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
17969,М206ОМ_79,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
17970,Р625МУ_65,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,пурпурный
17971,К431МТ_41,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
17972,Р047КЕ_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17973,М263ХА_96,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
17974,М236АК_15,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17975,О750СС_48,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
17976,Х251ХС_38,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
17977,В219ОР_69,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
17978,Н147ХХ_24,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
17979,У388МС_74,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
17980,К739НР_92,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
17981,Н109КА_75,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
17982,А097ВН_99,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
17983,С278УЕ_47,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
17984,У595СВ_98,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
17985,А253ТК_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
17986,У675РО_22,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
17987,Н567РМ_17,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
17988,В986ММ_19,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
17989,М139УТ_89,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,серый
17990,В343НС_05,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
17991,Р873ОР_86,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
17992,Е367ВР_48,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
17993,Н601КМ_55,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
17994,С599МН_18,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
17995,С504ВВ_90,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
17996,Т572КВ_84,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
17997,Т855АА_79,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
17998,Р793СА_63,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
17999,Т758ЕО_72,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18000,Т155МН_82,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18001,Н577СУ_18,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18002,С896СР_15,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18003,М527ХН_96,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18004,Н618ОВ_14,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18005,Т122РА_97,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18006,М344АМ_34,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,серый
18007,С119ОО_24,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
18008,А109УО_43,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18009,В314ТО_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18010,У362ВУ_24,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18011,С782ВТ_12,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18012,Х208АА_85,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
18013,В588ТК_12,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18014,А940ЕС_39,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18015,Х370КВ_57,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18016,М952СТ_56,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18017,К789КК_47,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
18018,К204УК_55,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18019,Х766ХК_43,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18020,У445НУ_30,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18021,Т242НУ_51,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18022,Р358ЕК_37,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18023,Т198НЕ_47,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18024,О510АХ_22,BMW M5 CS VI (F90) Рестайлинг,седан,автомат,полный,635,4.4,Бензин,белый
18025,Р342КК_94,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18026,С500СС_55,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18027,Р835АО_29,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18028,Т723ЕО_23,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18029,Х720ВК_81,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18030,С897АУ_41,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18031,С505МВ_26,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18032,В360ОР_10,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
18033,Х158НК_86,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18034,У939АО_10,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18035,У495УН_75,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
18036,Х078ЕО_33,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18037,Т184ХМ_60,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18038,С429СУ_26,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18039,Р042ОХ_45,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18040,Т494КТ_99,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18041,В990ОТ_05,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18042,О059ОУ_96,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18043,Е235ОЕ_98,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
18044,Р264ТМ_30,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18045,С246МЕ_12,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18046,О261НУ_65,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18047,Р666СО_05,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
18048,Н311АХ_34,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18049,Н334КМ_70,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18050,С932СУ_29,Porsche Cayenne Coupe GTS I,внедорожник,автомат,полный,460,4.0,Бензин,серый
18051,С799КН_83,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18052,Н107НН_17,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18053,В735ТО_34,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18054,К293НО_35,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
18055,С196АН_61,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18056,В513МВ_41,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18057,К477КА_15,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,чёрный
18058,В604СА_82,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18059,Т580ОО_19,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18060,У268ЕО_25,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18061,В918АВ_77,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18062,О843УН_88,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18063,Т630ТР_11,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18064,В070ЕУ_07,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18065,Т854ХЕ_29,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18066,Е961ТН_42,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18067,Р226ХТ_36,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18068,С505НК_87,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18069,Т656НО_13,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
18070,Х112ЕМ_73,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18071,Е957МВ_37,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18072,А403ЕН_65,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
18073,В443ОЕ_84,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18074,Н120ВА_21,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18075,Н911ОН_07,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18076,У275АЕ_65,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18077,Т386НХ_85,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18078,М667РА_01,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18079,М447ЕМ_41,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18080,В816РК_01,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,синий
18081,М049ХВ_58,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
18082,М782РХ_14,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18083,Е724СТ_98,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18084,Т726НЕ_35,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18085,Т350УС_04,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18086,С151НХ_40,Audi RS 7 I (4G) Рестайлинг,лифтбек,автомат,полный,560,4.0,Бензин,синий
18087,Х816РМ_46,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18088,Е868КО_88,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18089,В562ОТ_35,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18090,М635КЕ_21,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18091,М128ЕН_19,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
18092,Т895ХЕ_88,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18093,О587ОУ_39,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18094,Т972УО_42,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
18095,М458ОВ_11,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18096,Х402ТТ_24,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18097,К598НР_14,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18098,Н852ВО_21,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18099,М740РС_95,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18100,В155ХЕ_88,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18101,Х624ХМ_39,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18102,Н073АА_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18103,У509ХМ_96,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18104,С414ХЕ_17,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18105,К571ТА_91,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18106,О963УР_27,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,пурпурный
18107,М713ТУ_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18108,Х820НР_34,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18109,Р252АР_40,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
18110,К887ЕА_24,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18111,Т958АС_47,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18112,Н250МР_99,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18113,К067НЕ_00,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18114,Р517РТ_20,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18115,Т432АС_50,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18116,М145ЕМ_06,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18117,К364КТ_88,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,чёрный
18118,Т938ТС_68,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18119,К893РХ_15,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18120,Е758НЕ_97,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18121,У733КН_32,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
18122,Е313МС_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18123,Е232КА_17,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18124,О179ХВ_71,Porsche Cayenne Coupe GTS I,внедорожник,автомат,полный,460,4.0,Бензин,серый
18125,Х581ЕМ_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
18126,Х501РО_80,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18127,Е359СЕ_78,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18128,К078СР_09,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
18129,Т971УВ_66,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18130,М438РО_77,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
18131,Е815СН_13,Toyota Highlander III (U50),внедорожник,автомат,полный,249,3.5,Бензин,чёрный
18132,Р202ОМ_91,Jaguar XJ Long IV (X351),седан,автомат,полный,340,3.0,Бензин,чёрный
18133,В219НС_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
18134,М896АХ_67,Dodge Challenger SRT Hellcat III Рестайлинг 2,купе,автомат,задний,717,6.2,Бензин,чёрный
18135,Т795УВ_88,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
18136,В525ТК_05,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
18137,Н340ХА_90,Audi A8 Long III (D4) Рестайлинг,седан,автомат,полный,435,4.0,Бензин,чёрный
18138,А413УО_21,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18139,Р245НС_30,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
18140,В141ХО_39,Dodge Challenger III Рестайлинг 2,купе,автомат,задний,309,3.6,Бензин,серый
18141,Е942ЕС_70,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
18142,А666ТМ_65,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
18143,М283МН_43,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,синий
18144,К312ЕО_89,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18145,С142ТО_78,BMW 3 серии 335xi V (E90/E91/E92/E93) Рестайлинг,купе,автомат,полный,306,3.0,Бензин,белый
18146,Х081КВ_34,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,серый
18147,А695РК_85,Maybach 62 I,седан,автомат,задний,550,5.5,Бензин,чёрный
18148,У501ХР_03,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,210,2.5,Бензин,синий
18149,О852ЕК_83,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
18150,Е548СС_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18151,В640МХ_20,Volkswagen Jetta VII,седан,автомат,передний,110,1.6,Бензин,белый
18152,А184КТ_21,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
18153,Е578УО_93,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
18154,О895ОС_87,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,пурпурный
18155,В800ОУ_78,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
18156,Р763РТ_71,Kia Cerato IV,седан,автомат,передний,128,1.6,Бензин,белый
18157,А821ТЕ_30,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18158,А974НС_84,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
18159,Е061ТЕ_28,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
18160,О519ХТ_34,Audi RS 7 I (4G) Рестайлинг,лифтбек,автомат,полный,560,4.0,Бензин,синий
18161,М338ОС_58,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18162,М167АК_40,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
18163,А189ТА_11,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
18164,В396ЕХ_44,Chevrolet Camaro VI,купе,автомат,задний,238,2.0,Бензин,чёрный
18165,Н876РВ_90,Volvo S40 I Рестайлинг,седан,автомат,передний,136,2.0,Бензин,синий
